SetTemp 	  MeasuredTemp 	 hourDiff 	 minuteDiff 	 Output 
23	22	0	13	23
23	23	0	5	24
23	24	0	27	23
23	23	0	23	22
23	22	0	14	23
23	23	0	5	24
23	24	0	20	24
17	24	0	9	23
17	23	0	21	22
17	22	0	50	22
17	22	1	1	22
17	22	1	0	21
17	21	1	3	20
17	20	1	6	20
17	20	1	19	20
17	20	1	4	20
21	20	0	17	20
21	20	0	5	20
21	20	0	11	21
21	21	0	1	22
21	22	0	26	21
21	21	0	8	20
21	20	0	16	21
21	21	0	12	22
21	22	0	14	21
21	21	0	11	20
21	20	0	11	21
21	21	1	48	20
21	20	0	14	21
21	21	0	6	22
21	22	0	28	21
21	21	0	32	20
21	20	0	14	21
21	21	0	6	22
21	22	0	37	21
21	21	6	28	22
21	22	1	59	22
21	22	1	12	22
17	22	1	38	22
17	22	1	24	21
17	21	2	4	20
17	20	1	18	20
21	20	0	0	20
23	20	0	16	21
23	21	0	3	21
17	21	0	0	21
21	21	0	1	22
21	22	0	9	22
16	22	0	21	22
21	22	0	0	22
23	22	0	0	22
17	22	0	0	22
21	22	1	5	21
21	21	0	1	20
21	20	0	14	21
21	21	0	4	22
21	22	0	37	21
21	21	0	38	20
21	20	0	15	21
21	21	0	5	22
21	22	0	33	21
21	21	0	55	20
21	20	0	13	21
21	21	0	6	22
21	22	1	7	21
21	21	0	47	21
23	21	0	16	22
23	22	0	10	22
23	22	0	7	22
23	22	0	5	22
17	22	0	0	22
21	22	0	3	23
21	23	0	34	22
21	22	0	19	22
21	22	0	32	22
21	22	0	40	21
21	21	0	46	20
21	20	0	13	21
21	21	0	7	22
21	22	2	11	22
21	22	3	59	22
17	22	2	19	22
17	22	1	16	21
17	21	1	16	20
17	20	1	22	20
17	20	1	47	20
17	20	0	8	20
21	20	0	14	20
21	20	0	4	20
21	20	0	5	21
21	21	0	12	22
21	22	0	15	21
21	21	0	13	20
21	20	0	0	20
16	20	0	34	20
16	20	1	32	20
16	20	2	48	19
16	19	0	28	19
21	19	0	0	19
23	19	0	15	20
23	20	0	4	20
23	20	0	4	20
23	20	0	5	21
23	21	0	5	22
23	22	0	7	22
23	22	0	6	22
23	22	0	6	23
23	23	0	1	23
17	23	0	0	23
21	23	0	1	24
21	24	0	0	24
21	24	0	2	24
21	24	0	11	23
21	23	0	8	22
21	22	0	9	22
21	22	0	11	22
21	22	0	24	21
21	21	1	54	22
21	22	1	15	22
21	22	2	4	22
21	22	2	11	22
17	22	0	51	22
17	22	1	40	22
17	22	3	15	21
17	21	2	26	21
21	21	0	14	20
21	20	0	14	21
21	21	0	4	22
21	22	1	0	21
21	21	2	0	20
21	20	0	13	21
21	21	0	3	22
21	22	2	6	21
21	21	0	0	21
16	21	0	40	20
16	20	1	31	20
16	20	2	2	20
16	20	0	42	20
21	20	0	14	20
21	20	0	4	20
21	20	0	5	21
21	21	0	8	22
21	22	0	21	21
21	21	0	19	20
21	20	0	14	21
21	21	0	5	22
21	22	0	32	21
21	21	0	9	21
23	21	0	14	22
23	22	0	5	22
23	22	0	5	22
23	22	0	7	23
23	23	0	31	22
23	22	0	16	23
23	23	0	45	22
23	22	0	15	23
23	23	0	5	24
23	24	0	28	23
23	23	0	37	22
23	22	0	8	22
17	22	1	8	22
17	22	1	1	22
17	22	1	15	21
17	21	1	35	20
17	20	2	3	20
17	20	0	22	20
21	20	0	15	20
21	20	0	3	21
21	21	0	8	22
21	22	0	24	21
21	21	0	21	21
